frame_number,track_id,x1,y1,x2,y2,width,height,confidence_score,center_x,center_y,area,entity_type,color,video_width,video_height,fps,timestamp_video,timestamp_sec,timestamp_hms
20,a280cfcf-427d-4ac3-943d-0e42c465269f,1528,324,1903,511,375,187,0.5418199300765991,1715.5,417.5,70125,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:31.428571428571427,1.4285714285714286,0 days 00:00:01.428571429
30,c58a8fa2-708c-4f02-af47-80a240031f41,1260,303,1560,454,300,151,0.5741768479347229,1410.0,378.5,45300,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:32.14285714285714,2.142857142857143,0 days 00:00:02.142857143
40,0d4c0fc9-19d8-46d5-9e88-4717624cd31d,1062,286,1298,421,236,135,0.5511471033096313,1180.0,353.5,31860,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:32.85714285714286,2.857142857142857,0 days 00:00:02.857142857
50,b7c2efd2-9dce-46c0-891e-9f7fd596fac4,883,282,1001,397,118,115,0.4447062909603119,942.0,339.5,13570,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:33.57142857142857,3.5714285714285716,0 days 00:00:03.571428571
60,e522d2ef-ed88-433b-ae72-607ad841c8e5,791,259,867,368,76,109,0.5218970775604248,829.0,313.5,8284,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:34.285714285714285,4.285714285714286,0 days 00:00:04.285714286
70,5043c105-d980-42e6-8a57-d3b1471e46d0,818,254,875,330,57,76,0.44767051935195923,846.5,292.0,4332,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:35.0,5.0,0 days 00:00:05
80,cb19cfe0-d78c-45e0-a117-57a9397465e0,863,237,908,311,45,74,0.4851085841655731,885.5,274.0,3330,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:35.714285714285715,5.714285714285714,0 days 00:00:05.714285714
90,f5532488-dd6e-492a-813c-0bb61b175bad,850,228,900,294,50,66,0.5402606129646301,875.0,261.0,3300,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:36.42857142857143,6.428571428571429,0 days 00:00:06.428571429
100,0b5711dc-7718-42b4-974f-390b1da6cfe4,731,225,829,278,98,53,0.4256514608860016,780.0,251.5,5194,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:37.142857142857146,7.142857142857143,0 days 00:00:07.142857143
110,5c6e1dda-87d0-4a44-90a8-aad4c453862f,584,210,706,272,122,62,0.47117915749549866,645.0,241.0,7564,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:37.857142857142854,7.857142857142857,0 days 00:00:07.857142857
120,0dc7140e-c2a6-486b-88f7-bd39a8a213d1,426,205,566,273,140,68,0.3823308050632477,496.0,239.0,9520,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:38.57142857142857,8.571428571428571,0 days 00:00:08.571428571
130,7a782b35-f9f6-4db8-aec8-5a8b56cda7b7,257,198,411,280,154,82,0.38165634870529175,334.0,239.0,12628,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:39.285714285714285,9.285714285714286,0 days 00:00:09.285714286
140,54e5d971-d962-40bf-a39b-6d82c454fdef,35,188,220,277,185,89,0.41035088896751404,127.5,232.5,16465,Man in a bike,"(0, 0, 255)",1920,1080,14,00:04:40.0,10.0,0 days 00:00:10
