frame_number,track_id,x1,y1,x2,y2,width,height,confidence_score,center_x,center_y,area,entity_type,color,video_width,video_height,fps,timestamp_video,timestamp_sec,timestamp_hms
0,e0bc424a-9b7e-4a91-bf43-c19b49d2e4c7,1114,192,1274,243,160,51,0.6107761859893799,1194.0,217.5,8160,Black SUV,"(0, 255, 0)",1920,1080,14,270.0,0.0,0 days 00:00:00
10,e2931adc-54ce-48f9-8a7d-bd04bd586cf2,1057,189,1207,244,150,55,0.3616744577884674,1132.0,216.5,8250,Black SUV,"(0, 255, 0)",1920,1080,14,270.7142857142857,0.7142857142857143,0 days 00:00:00.714285714
20,aee070b8-8b26-473e-90d4-0b235e23e56a,987,187,1140,246,153,59,0.39845603704452515,1063.5,216.5,9027,Black SUV,"(0, 255, 0)",1920,1080,14,271.42857142857144,1.4285714285714286,0 days 00:00:01.428571429
30,9f6d01af-1a33-4ab6-bd62-739292d4d73c,968,186,1091,249,123,63,0.4834529161453247,1029.5,217.5,7749,Black SUV,"(0, 255, 0)",1920,1080,14,272.1428571428571,2.142857142857143,0 days 00:00:02.142857143
40,08a4bc4b-8c95-48e2-b466-92138aa5e8e2,548,171,694,235,146,64,0.42303037643432617,621.0,203.0,9344,Black SUV,"(0, 255, 0)",1920,1080,14,272.8571428571429,2.857142857142857,0 days 00:00:02.857142857
50,1a432109-0c08-417c-9502-ae8ae7333d14,549,171,688,235,139,64,0.3866339325904846,618.5,203.0,8896,Black SUV,"(0, 255, 0)",1920,1080,14,273.57142857142856,3.5714285714285716,0 days 00:00:03.571428571
60,8baecce4-5c6c-4a41-ab0d-23d928e4bce1,548,171,691,234,143,63,0.38186803460121155,619.5,202.5,9009,Black SUV,"(0, 255, 0)",1920,1080,14,274.2857142857143,4.285714285714286,0 days 00:00:04.285714286
60,452dc874-1f5a-4c6b-80b1-ed491cc4eb1d,712,186,922,275,210,89,0.4004267156124115,817.0,230.5,18690,Black SUV,"(0, 255, 0)",1920,1080,14,274.2857142857143,4.285714285714286,0 days 00:00:04.285714286
70,f1386db1-f907-4b1c-b4b9-bc9b1a70f996,550,171,696,235,146,64,0.3270505666732788,623.0,203.0,9344,Black SUV,"(0, 255, 0)",1920,1080,14,275.0,5.0,0 days 00:00:05
70,461c5757-70c4-4618-86c9-9a2dc72eb0f3,653,185,881,282,228,97,0.43422767519950867,767.0,233.5,22116,Black SUV,"(0, 255, 0)",1920,1080,14,275.0,5.0,0 days 00:00:05
80,77942523-4217-4560-9cf7-705fda379e23,553,171,687,235,134,64,0.40072503685951233,620.0,203.0,8576,Black SUV,"(0, 255, 0)",1920,1080,14,275.7142857142857,5.714285714285714,0 days 00:00:05.714285714
80,bc73dc3a-047a-4fec-ae35-bb263292ffc1,581,184,842,290,261,106,0.45634040236473083,711.5,237.0,27666,Black SUV,"(0, 255, 0)",1920,1080,14,275.7142857142857,5.714285714285714,0 days 00:00:05.714285714
90,604d8a6b-fabb-45de-951c-087a9bfdd802,412,180,758,308,346,128,0.4933818280696869,585.0,244.0,44288,Black SUV,"(0, 255, 0)",1920,1080,14,276.42857142857144,6.428571428571429,0 days 00:00:06.428571429
100,7186e00e-3209-4165-bf9c-0e287d9de66d,553,171,690,234,137,63,0.4861167073249817,621.5,202.5,8631,Black SUV,"(0, 255, 0)",1920,1080,14,277.1428571428571,7.142857142857143,0 days 00:00:07.142857143
100,3bf84a90-fe33-4c20-bd4e-19713ca70185,44,177,572,339,528,162,0.31649383902549744,308.0,258.0,85536,Black SUV,"(0, 255, 0)",1920,1080,14,277.1428571428571,7.142857142857143,0 days 00:00:07.142857143
110,896d592c-1727-4fff-ad2a-6027dd89916f,0,167,174,362,174,195,0.3754560053348541,87.0,264.5,33930,Black SUV,"(0, 255, 0)",1920,1080,14,277.8571428571429,7.857142857142857,0 days 00:00:07.857142857
120,a0ce71bd-76c5-491e-99a9-356fb3c54bfe,547,171,687,234,140,63,0.42214730381965637,617.0,202.5,8820,Black SUV,"(0, 255, 0)",1920,1080,14,278.57142857142856,8.571428571428571,0 days 00:00:08.571428571
130,1792af68-d65e-4a2d-a49c-a3a2532ee3c6,548,171,688,234,140,63,0.4214845597743988,618.0,202.5,8820,Black SUV,"(0, 255, 0)",1920,1080,14,279.2857142857143,9.285714285714286,0 days 00:00:09.285714286
140,83f9e44d-d44a-4b0b-80b2-4f26f95f819b,547,171,688,234,141,63,0.42419859766960144,617.5,202.5,8883,Black SUV,"(0, 255, 0)",1920,1080,14,280.0,10.0,0 days 00:00:10
150,daf055d7-f70a-42f2-be78-168c891d1d4f,548,171,688,234,140,63,0.42277777194976807,618.0,202.5,8820,Black SUV,"(0, 255, 0)",1920,1080,14,280.7142857142857,10.714285714285714,0 days 00:00:10.714285714
160,dd55137d-0e87-47d8-934e-b08cbd9b0072,548,171,688,234,140,63,0.44247275590896606,618.0,202.5,8820,Black SUV,"(0, 255, 0)",1920,1080,14,281.42857142857144,11.428571428571429,0 days 00:00:11.428571429
170,9ffb9ffa-1ad0-48e3-8a13-39cc27fcbedd,547,171,688,234,141,63,0.4257907271385193,617.5,202.5,8883,Black SUV,"(0, 255, 0)",1920,1080,14,282.1428571428571,12.142857142857142,0 days 00:00:12.142857143
180,2d591960-a771-4d4a-a5b8-8097e59ce34d,548,171,689,234,141,63,0.3999379873275757,618.5,202.5,8883,Black SUV,"(0, 255, 0)",1920,1080,14,282.8571428571429,12.857142857142858,0 days 00:00:12.857142857
190,046522cd-4783-4507-8364-93f780369d1a,547,171,689,234,142,63,0.3823050558567047,618.0,202.5,8946,Black SUV,"(0, 255, 0)",1920,1080,14,283.57142857142856,13.571428571428571,0 days 00:00:13.571428571
200,b8ddafa6-59d6-4dc9-91ac-f043444dd9ab,549,170,691,233,142,63,0.38402798771858215,620.0,201.5,8946,Black SUV,"(0, 255, 0)",1920,1080,14,284.2857142857143,14.285714285714286,0 days 00:00:14.285714286
210,623051aa-3a93-44aa-8c0a-762f4e4bb075,558,170,689,234,131,64,0.3929036259651184,623.5,202.0,8384,Black SUV,"(0, 255, 0)",1920,1080,14,285.0,15.0,0 days 00:00:15
